Time started: 2025-07-21 21:56:34.331187
Backend: garnet_mock
Problems: ['Random Number Generator', 'Quantum Fourier Transform', 'Bernstein-Vazirani', "Grover's Algorithm", 'Quantum Phase Estimation']

Problem, Nickname, Results, Shots, Time (ms), Quantum Usage Estimation, Metadata
Random Number Generator,N/A,"{'00': 339, '11': 361}",700,14499.521,N/A,Qubit Count: 2
Random Number Generator,N/A,"{'11': 345, '00': 355}",700,10208.317,N/A,Qubit Count: 2
Random Number Generator,N/A,"{'11': 360, '00': 340}",700,10464.550,N/A,Qubit Count: 2
Random Number Generator,N/A,"{'00': 375, '11': 425}",800,10030.583,N/A,Qubit Count: 2
Random Number Generator,N/A,"{'11': 385, '00': 415}",800,9627.536,N/A,Qubit Count: 2
Random Number Generator,N/A,"{'11': 407, '00': 393}",800,10207.839,N/A,Qubit Count: 2
Random Number Generator,N/A,"{'00': 445, '11': 455}",900,10484.100,N/A,Qubit Count: 2
Random Number Generator,N/A,"{'00': 458, '11': 442}",900,12094.767,N/A,Qubit Count: 2
Random Number Generator,N/A,"{'00': 461, '11': 439}",900,11279.567,N/A,Qubit Count: 2
Random Number Generator,N/A,"{'00': 492, '11': 508}",1000,10663.995,N/A,Qubit Count: 2
Random Number Generator,N/A,"{'00': 497, '11': 503}",1000,10268.350,N/A,Qubit Count: 2
Random Number Generator,N/A,"{'00': 495, '11': 505}",1000,10266.063,N/A,Qubit Count: 2
Random Number Generator,N/A,"{'1011': 26, '0000': 28, '0100': 21, '1111': 25}",100,11181.797,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'0100': 33, '1111': 22, '1011': 25, '0000': 20}",100,10993.548,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1011': 29, '0000': 17, '1111': 28, '0100': 26}",100,14254.942,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'0000': 48, '1011': 50, '0100': 53, '1111': 49}",200,10208.429,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1011': 53, '0100': 49, '1111': 52, '0000': 46}",200,11504.593,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1011': 52, '0100': 48, '1111': 51, '0000': 49}",200,10437.472,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1011': 81, '1111': 68, '0100': 82, '0000': 69}",300,9511.952,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1011': 73, '0100': 83, '0000': 85, '1111': 59}",300,10501.908,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1111': 70, '0100': 83, '0000': 76, '1011': 71}",300,10925.576,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'0100': 83, '1011': 119, '1111': 109, '0000': 89}",400,11094.424,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1011': 119, '1111': 99, '0100': 100, '0000': 82}",400,10425.574,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1111': 108, '0000': 92, '0100': 107, '1011': 93}",400,11216.858,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1111': 106, '0100': 132, '1011': 122, '0000': 140}",500,9916.537,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'0100': 122, '1111': 125, '1011': 115, '0000': 138}",500,11286.274,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1111': 138, '0000': 104, '1011': 116, '0100': 142}",500,10063.708,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'0100': 135, '1111': 150, '1011': 155, '0000': 160}",600,9704.833,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'0100': 147, '0000': 131, '1011': 163, '1111': 159}",600,11557.043,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1111': 150, '0100': 170, '1011': 141, '0000': 139}",600,10436.075,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'0000': 150, '1111': 179, '0100': 176, '1011': 195}",700,10617.181,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1011': 169, '1111': 193, '0000': 172, '0100': 166}",700,9756.719,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1111': 194, '1011': 159, '0100': 175, '0000': 172}",700,10186.635,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'0000': 218, '0100': 201, '1111': 189, '1011': 192}",800,10500.366,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1111': 187, '1011': 206, '0000': 207, '0100': 200}",800,10560.808,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1111': 210, '0000': 213, '0100': 167, '1011': 210}",800,10059.132,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'0100': 203, '1011': 204, '1111': 238, '0000': 255}",900,10754.699,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1011': 227, '0000': 226, '0100': 228, '1111': 219}",900,10129.496,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1011': 215, '0100': 238, '1111': 227, '0000': 220}",900,11293.369,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1111': 223, '0000': 246, '1011': 280, '0100': 251}",1000,11223.771,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'0000': 262, '1111': 241, '1011': 252, '0100': 245}",1000,10045.472,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'1011': 265, '1111': 224, '0100': 240, '0000': 271}",1000,11004.650,N/A,Qubit Count: 4
Random Number Generator,N/A,"{'111011': 11, '111111': 14, '101011': 12, '000100': 13, '101111': 19, '010000': 14, '010100': 6, '000000': 11}",100,10231.485,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'111111': 18, '101011': 11, '101111': 17, '010100': 8, '111011': 11, '000100': 17, '000000': 8, '010000': 10}",100,11745.725,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'101111': 9, '111111': 16, '010000': 9, '000000': 14, '111011': 11, '000100': 11, '010100': 13, '101011': 17}",100,10213.958,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'010100': 28, '101111': 32, '010000': 22, '000100': 27, '000000': 30, '101011': 19, '111111': 20, '111011': 22}",200,9523.609,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'010000': 28, '111011': 28, '101111': 30, '000000': 25, '010100': 24, '101011': 21, '000100': 20, '111111': 24}",200,11861.509,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'101011': 25, '000000': 28, '000100': 24, '111111': 19, '010000': 27, '111011': 30, '101111': 24, '010100': 23}",200,11218.351,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'111011': 41, '010100': 34, '101011': 46, '000000': 35, '101111': 37, '000100': 37, '010000': 30, '111111': 40}",300,10120.192,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'101011': 45, '000100': 41, '010100': 35, '000000': 31, '111111': 35, '101111': 38, '111011': 35, '010000': 40}",300,10582.998,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'010000': 43, '000000': 39, '101111': 38, '000100': 42, '111111': 27, '101011': 34, '111011': 35, '010100': 42}",300,10004.052,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'010000': 50, '101011': 52, '000000': 50, '101111': 42, '111111': 49, '000100': 60, '010100': 51, '111011': 46}",400,11743.285,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'111111': 45, '101111': 53, '000000': 52, '000100': 48, '010100': 49, '111011': 58, '010000': 47, '101011': 48}",400,10220.673,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'010000': 51, '111011': 45, '010100': 53, '000100': 43, '101111': 53, '101011': 58, '000000': 50, '111111': 47}",400,10422.718,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'111011': 59, '000000': 74, '111111': 82, '101111': 52, '101011': 58, '010000': 62, '010100': 65, '000100': 48}",500,10219.844,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'010000': 65, '010100': 64, '000000': 62, '101011': 50, '111111': 59, '111011': 61, '000100': 54, '101111': 85}",500,13403.238,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'101011': 71, '010000': 49, '000100': 58, '000000': 79, '010100': 59, '111111': 63, '111011': 72, '101111': 49}",500,10842.651,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'111111': 82, '000000': 62, '101011': 82, '010000': 72, '000100': 87, '101111': 72, '010100': 62, '111011': 81}",600,9894.209,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'101111': 73, '111011': 84, '010100': 80, '010000': 77, '101011': 72, '111111': 69, '000100': 74, '000000': 71}",600,10371.485,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'000000': 71, '101111': 69, '101011': 80, '111011': 66, '111111': 70, '010100': 91, '010000': 69, '000100': 84}",600,10750.204,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'000000': 95, '010100': 89, '111011': 82, '101111': 82, '111111': 108, '101011': 77, '000100': 85, '010000': 82}",700,11062.283,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'000000': 83, '010000': 83, '111111': 101, '101011': 89, '000100': 101, '101111': 74, '111011': 75, '010100': 94}",700,10254.850,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'101111': 93, '101011': 81, '010100': 94, '000000': 87, '000100': 68, '111011': 87, '111111': 93, '010000': 97}",700,10250.811,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'101011': 89, '000100': 91, '101111': 100, '010100': 115, '010000': 94, '111011': 108, '111111': 108, '000000': 95}",800,10053.226,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'101111': 103, '000100': 107, '010000': 113, '000000': 92, '101011': 118, '111111': 82, '010100': 93, '111011': 92}",800,10139.862,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'000000': 97, '101011': 92, '111111': 108, '111011': 99, '000100': 114, '010100': 95, '101111': 97, '010000': 98}",800,11615.119,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'111011': 90, '101111': 121, '101011': 109, '000100': 110, '000000': 121, '010000': 118, '111111': 110, '010100': 121}",900,10265.500,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'101011': 112, '010100': 116, '111111': 109, '111011': 103, '000100': 94, '000000': 123, '010000': 132, '101111': 111}",900,10070.477,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'010000': 98, '101111': 100, '000000': 111, '111011': 120, '111111': 112, '101011': 144, '000100': 108, '010100': 107}",900,10681.824,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'101011': 137, '101111': 114, '111111': 135, '000000': 122, '111011': 136, '010100': 114, '010000': 123, '000100': 119}",1000,10185.875,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'000000': 112, '000100': 124, '101011': 138, '111111': 113, '101111': 131, '111011': 134, '010000': 113, '010100': 135}",1000,9572.029,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'010000': 117, '000100': 125, '101011': 135, '111011': 121, '111111': 122, '010100': 144, '000000': 123, '101111': 113}",1000,10697.179,N/A,Qubit Count: 6
Random Number Generator,N/A,"{'01010000': 15, '11111111': 12, '11010100': 13, '00101011': 10, '10000100': 12, '00000000': 15, '10101111': 14, '01111011': 9}",100,10898.053,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'10101111': 16, '11111111': 15, '00101011': 14, '00000000': 18, '01010000': 12, '01111011': 7, '11010100': 14, '10000100': 4}",100,10556.335,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'11010100': 10, '00101011': 15, '01111011': 14, '10101111': 14, '11111111': 14, '00000000': 14, '01010000': 14, '10000100': 5}",100,11566.634,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'10000100': 18, '10101111': 25, '11010100': 25, '11111111': 23, '01010000': 34, '00000000': 24, '01111011': 30, '00101011': 21}",200,10188.881,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'00101011': 22, '01010000': 32, '10000100': 17, '10101111': 25, '11010100': 26, '01111011': 26, '11111111': 30, '00000000': 22}",200,10107.389,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'10000100': 17, '01111011': 28, '01010000': 22, '11111111': 30, '00101011': 25, '00000000': 24, '10101111': 25, '11010100': 29}",200,11131.761,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'01111011': 46, '10101111': 30, '10000100': 44, '01010000': 39, '00101011': 28, '00000000': 35, '11010100': 41, '11111111': 37}",300,11945.566,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'00000000': 34, '01111011': 42, '10000100': 40, '10101111': 41, '00101011': 40, '11111111': 40, '11010100': 28, '01010000': 35}",300,10806.242,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'11111111': 39, '11010100': 45, '10000100': 34, '00000000': 46, '01111011': 36, '10101111': 42, '00101011': 28, '01010000': 30}",300,11362.457,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'11111111': 57, '10101111': 58, '11010100': 40, '00000000': 53, '00101011': 57, '01111011': 41, '10000100': 57, '01010000': 37}",400,10125.276,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'00000000': 55, '00101011': 51, '11010100': 57, '11111111': 50, '01111011': 38, '10101111': 47, '10000100': 61, '01010000': 41}",400,11039.368,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'10000100': 45, '01111011': 51, '00101011': 48, '00000000': 55, '11111111': 47, '01010000': 47, '10101111': 57, '11010100': 50}",400,10641.282,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'11010100': 62, '10000100': 72, '01111011': 68, '10101111': 58, '11111111': 67, '00000000': 53, '01010000': 57, '00101011': 63}",500,10638.021,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'11111111': 64, '10101111': 73, '01111011': 51, '11010100': 69, '00101011': 53, '10000100': 67, '01010000': 66, '00000000': 57}",500,10140.907,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'10000100': 69, '11111111': 77, '00101011': 58, '10101111': 65, '00000000': 50, '11010100': 68, '01010000': 55, '01111011': 58}",500,10649.363,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'10000100': 78, '01111011': 62, '11111111': 69, '10101111': 70, '00000000': 89, '11010100': 69, '00101011': 87, '01010000': 76}",600,11165.303,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'01111011': 75, '11010100': 81, '10000100': 75, '11111111': 73, '10101111': 76, '00101011': 74, '00000000': 72, '01010000': 74}",600,10198.842,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'01111011': 73, '00101011': 66, '10101111': 71, '11111111': 75, '01010000': 89, '00000000': 92, '11010100': 71, '10000100': 63}",600,10105.571,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'11111111': 97, '00000000': 86, '00101011': 75, '10000100': 79, '11010100': 103, '10101111': 101, '01111011': 62, '01010000': 97}",700,10255.123,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'10101111': 91, '11010100': 73, '11111111': 101, '00000000': 92, '01010000': 84, '10000100': 92, '00101011': 71, '01111011': 96}",700,10139.790,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'11010100': 87, '01010000': 84, '10000100': 82, '00101011': 84, '01111011': 88, '11111111': 100, '10101111': 87, '00000000': 88}",700,11414.979,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'10101111': 111, '10000100': 93, '11010100': 98, '00101011': 106, '00000000': 96, '01010000': 117, '11111111': 84, '01111011': 95}",800,10169.726,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'00101011': 101, '11111111': 101, '01111011': 93, '10000100': 83, '00000000': 107, '11010100': 115, '10101111': 90, '01010000': 110}",800,10065.819,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'10101111': 86, '01010000': 100, '11010100': 96, '11111111': 118, '10000100': 98, '00000000': 102, '00101011': 99, '01111011': 101}",800,10261.757,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'10101111': 96, '10000100': 94, '11111111': 121, '11010100': 122, '01111011': 118, '00000000': 121, '01010000': 117, '00101011': 111}",900,686466.928,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'11010100': 118, '01010000': 117, '00000000': 106, '01111011': 112, '10000100': 111, '00101011': 126, '10101111': 118, '11111111': 92}",900,10447.450,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'10101111': 98, '11111111': 137, '01010000': 116, '10000100': 122, '01111011': 104, '11010100': 111, '00101011': 110, '00000000': 102}",900,11832.660,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'11111111': 114, '01010000': 120, '10000100': 135, '10101111': 128, '01111011': 124, '11010100': 130, '00000000': 114, '00101011': 135}",1000,9677.311,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'11010100': 132, '00101011': 127, '01111011': 124, '01010000': 103, '10101111': 123, '10000100': 143, '11111111': 132, '00000000': 116}",1000,10597.641,N/A,Qubit Count: 8
Random Number Generator,N/A,"{'00000000': 133, '00101011': 103, '01010000': 131, '01111011': 120, '11111111': 108, '10000100': 129, '11010100': 140, '10101111': 136}",1000,11739.270,N/A,Qubit Count: 8
Quantum Fourier Transform,N/A,"{'00': 46, '11': 54}",100,11322.648,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 51, '11': 49}",100,9743.357,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 41, '11': 59}",100,9744.737,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 98, '11': 102}",200,10466.650,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 101, '11': 99}",200,10677.860,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 94, '11': 106}",200,9822.931,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'11': 146, '00': 154}",300,11215.256,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'11': 148, '00': 152}",300,9784.867,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 157, '11': 143}",300,9873.108,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 195, '11': 205}",400,11716.437,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 181, '11': 219}",400,9882.098,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'11': 183, '00': 217}",400,9743.335,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 251, '11': 249}",500,11875.930,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 235, '11': 265}",500,12014.875,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 258, '11': 242}",500,11359.521,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 289, '11': 311}",600,10289.437,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 337, '11': 363}",700,12330.552,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'11': 353, '00': 347}",700,11232.717,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 350, '11': 350}",700,121199.005,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'11': 412, '00': 388}",800,10144.718,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 404, '11': 396}",800,10751.802,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 401, '11': 399}",800,10132.878,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'11': 444, '00': 456}",900,11825.302,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 451, '11': 449}",900,11852.588,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'11': 446, '00': 454}",900,10855.446,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'11': 505, '00': 495}",1000,10986.122,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'00': 492, '11': 508}",1000,10302.673,N/A,Qubit Count: 2
Quantum Fourier Transform,N/A,"{'1010': 29, '0101': 22, '1111': 29, '0000': 20}",100,9979.436,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0011': 24, '1100': 31, '0000': 19, '1111': 26}",100,9951.697,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0000': 25, '1111': 25, '1010': 18, '0101': 32}",100,15179.664,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0001': 42, '0000': 52, '1111': 46, '1110': 60}",200,10472.439,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0101': 36, '1111': 56, '1010': 51, '0000': 57}",200,10270.849,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'1111': 104, '0000': 96}",200,10582.682,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0001': 63, '1110': 66, '0000': 82, '1111': 89}",300,10175.709,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0000': 71, '0001': 75, '1110': 74, '1111': 80}",300,9670.371,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'1111': 153, '0000': 147}",300,9568.241,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'1100': 105, '1111': 84, '0011': 109, '0000': 102}",400,9472.733,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0011': 96, '0000': 100, '1100': 102, '1111': 102}",400,9894.034,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'1100': 99, '1111': 115, '0011': 90, '0000': 96}",400,10299.532,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'1110': 117, '0001': 135, '0000': 139, '1111': 109}",500,9576.476,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'1111': 126, '1010': 123, '0101': 136, '0000': 115}",500,10724.089,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0000': 251, '1111': 249}",500,9577.146,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0001': 150, '1111': 154, '1110': 147, '0000': 149}",600,11270.688,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0001': 154, '1111': 156, '1110': 137, '0000': 153}",600,11660.189,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0011': 156, '1111': 136, '0000': 161, '1100': 147}",600,10014.738,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'1111': 190, '1010': 177, '0000': 155, '0101': 178}",700,10546.368,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0001': 175, '0000': 172, '1111': 172, '1110': 181}",700,9897.920,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'1101': 190, '1111': 169, '0000': 179, '0010': 162}",700,10726.327,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'1111': 209, '0000': 189, '0101': 206, '1010': 196}",800,10121.377,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0000': 206, '0001': 199, '1110': 187, '1111': 208}",800,11022.572,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0000': 398, '1111': 402}",800,10048.045,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0010': 227, '1111': 226, '1101': 221, '0000': 226}",900,10865.859,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0000': 238, '1110': 242, '0001': 225, '1111': 195}",900,11406.336,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'1111': 232, '1110': 201, '0000': 231, '0001': 236}",900,12385.242,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'0011': 258, '1111': 233, '1100': 251, '0000': 258}",1000,10446.857,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'1111': 278, '1100': 255, '0000': 243, '0011': 224}",1000,11419.075,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'1111': 248, '0000': 234, '0011': 288, '1100': 230}",1000,10070.824,N/A,Qubit Count: 4
Quantum Fourier Transform,N/A,"{'111111': 32, '110010': 20, '000000': 27, '001101': 21}",100,10373.445,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'111111': 27, '101100': 19, '010011': 29, '000000': 25}",100,9107.955,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'000000': 24, '111111': 31, '101100': 27, '010011': 18}",100,10420.879,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'110010': 57, '000000': 55, '111111': 45, '001101': 43}",200,11574.709,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'111111': 40, '001011': 57, '000000': 53, '110100': 50}",200,11195.083,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'111111': 72, '001011': 77, '000000': 72, '110100': 79}",300,10906.519,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'111111': 80, '010101': 82, '000000': 71, '101010': 67}",300,10490.506,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'010011': 64, '111111': 85, '000000': 73, '101100': 78}",300,11380.957,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'101100': 94, '111111': 104, '000000': 111, '010011': 91}",400,10452.812,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'111111': 105, '000000': 109, '110001': 97, '001110': 89}",400,10410.136,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'010011': 103, '000000': 102, '111111': 105, '101100': 90}",400,10520.711,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'010011': 133, '111111': 129, '101100': 121, '000000': 117}",500,10420.470,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'110010': 139, '001101': 113, '111111': 128, '000000': 120}",500,10428.888,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'101100': 138, '111111': 116, '000000': 126, '010011': 120}",500,11072.540,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'100011': 149, '000000': 148, '011100': 148, '111111': 155}",600,9788.768,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'101100': 155, '000000': 145, '010011': 141, '111111': 159}",600,11444.841,N/A,Qubit Count: 6
Quantum Fourier Transform,N/A,"{'111111': 152, '000000': 162, '010011': 150, '101100': 136}",600,10555.579,N/A,Qubit Count: 6
